game_card_id	mtg_name	flavor_text
7120	Rogue Kavu	Rogue Kavu is known for one thing: smoke follows every step.
7201	Broodhatch Nantuko	Where Broodhatch Nantuko goes, small bodies carry endless hunger.
7202	Thalakos Dreamsower	Trainers whisper of Thalakos Dreamsower: one word tilts the battle.
7203	Crypt Rats	Where Crypt Rats goes, a shadow learns its name.
7204	Spiny Starfish	Spiny Starfish leaves this sign: The water flashes, then stills.
7205	Vodalian Hypnotist	No one forgets Vodalian Hypnotist when a ripple becomes a warning.
7206	Hyperion Blacksmith	Where Hyperion Blacksmith goes, heat gathers around its name.
7207	Soulcatcher	Soulcatcher leaves this sign: A bright wing cuts the sky.
7208	Wall of Mulch	Trainers whisper of Wall of Mulch: it does not chase. It does not need to.
7209	Elves of Deep Shadow	No one forgets Elves of Deep Shadow when the road bends under its weight.
7210	Silver Erne	Trainers whisper of Silver Erne: it reads the wind first.
7211	Thunder Wall	No one forgets Thunder Wall when the path ends here.
7212	Wonder	Wonder leaves this sign: Winter keeps close company.
7213	Warbreak Trumpeter	Where Warbreak Trumpeter goes, a red spark refuses to die.
7214	Nimble Mongoose	No one forgets Nimble Mongoose when old roots stir beneath it.
7301	Doomsday Specter	Trainers whisper of Doomsday Specter: it steals courage before blood.
7302	Xira Arien	Xira Arien arrives with an old legend at its back.
7303	Darigaaz, the Igniter	Darigaaz, the Igniter arrives with an old legend at its back.
7304	Arrogant Wurm	Trainers whisper of Arrogant Wurm: a tunnel becomes a warning.
7305	Chicken à la King	Chicken à la King is known for one thing: a bright wing cuts the sky.
7306	Crosis, the Purger	Crosis, the Purger arrives with an old legend at its back.
7307	B.F.M. (Big Furry Monster)	Where B.F.M. (Big Furry Monster) goes, a roar becomes weather.
7308	Molten Hydra	Molten Hydra leaves this sign: A red spark refuses to die.
7309	Rasputin Dreamweaver	The old stories keep a place for Rasputin Dreamweaver.
7310	Gorilla Shaman	The trail of Gorilla Shaman says it clearly: the trees shake first.
7311	Anavolver	Anavolver leaves this sign: Stone remembers the impact.
7312	Canyon Drake	The trail of Canyon Drake says it clearly: a smaller dragon with no smaller pride.
7313	Squee, Goblin Nabob	Trouble survives because trouble is stubborn.
7314	Fallen Angel	Fallen Angel leaves this sign: Hope descends with a blade.
7315	Wall of Kelp	Where Wall of Kelp goes, green life grows teeth.
7316	Zhao Zilong, Tiger General	Zhao Zilong, Tiger General walks in with history close behind.
7317	Argothian Enchantress	Argothian Enchantress leaves this sign: Deep currents keep its secret.
7318	Asmira, Holy Avenger	Asmira, Holy Avenger walks in with history close behind.
7319	Ichorid	Ichorid leaves this sign: Fear gives it room to breathe.
7401	Waterspout Djinn	Where Waterspout Djinn goes, ancient power answers badly.
7402	Killer Whale	The trail of Killer Whale says it clearly: a living island turns below.
7403	Deranged Hermit	Deranged Hermit is known for one thing: old roots stir beneath it.
7404	Serendib Efreet	Trainers whisper of Serendib Efreet: fire bows, then lashes out.
7405	The Wretched	Where The Wretched goes, a bargain steps out of the dark.
7406	Exalted Angel	Trainers whisper of Exalted Angel: light sharpens at its arrival.
7407	Ball Lightning	A thunderclap that learned to charge.
7408	Anurid Brushhopper	The trail of Anurid Brushhopper says it clearly: the warning growl comes too late.
7409	Avatar of Woe	Avatar of Woe leaves this sign: An idea grows a body.
7410	Hammerhead Shark	The trail of Hammerhead Shark says it clearly: a fin cuts through silence.
7411	Denizen of the Deep	Denizen of the Deep is known for one thing: the deep keeps this hunger.
7412	Venomous Dragonfly	Venomous Dragonfly is known for one thing: one wingbeat becomes a swarm.
7413	Pride of Lions	No one forgets Pride of Lions when it waits for the perfect moment.
7414	Rainbow Efreet	Rainbow Efreet leaves this sign: Fire bows, then lashes out.
7415	Spectral Lynx	Spectral Lynx leaves this sign: The past borrows a body.
9001	Palladia-Mors	Palladia-Mors walks in with history close behind.
9002	Baron Sengir	Baron Sengir walks in with history close behind.
9003	Akroma, Angel of Wrath	The old stories keep a place for Akroma, Angel of Wrath.
9004	Hazezon Tamar	The old stories keep a place for Hazezon Tamar.
9005	Rith, the Awakener	When Rith, the Awakener appears, even old rivals remember.
9006	Kamahl, Fist of Krosa	When Kamahl, Fist of Krosa appears, even old rivals remember.
9007	Dakkon Blackblade	Dakkon Blackblade arrives with an old legend at its back.
9008	Arcanis the Omnipotent	Arcanis the Omnipotent walks in with history close behind.
9060	Jeska, Warrior Adept	Jeska, Warrior Adept arrives with an old legend at its back.
9061	Phage the Untouchable	Phage the Untouchable walks in with history close behind.
9062	Atalya, Samite Master	When Atalya, Samite Master appears, even old rivals remember.
9063	Treva, the Renewer	The old stories keep a place for Treva, the Renewer.
9064	Commander Greven il-Vec	When Commander Greven il-Vec appears, even old rivals remember.
9065	Ertai, the Corrupted	The old stories keep a place for Ertai, the Corrupted.
9066	Multani, Maro-Sorcerer	Multani, Maro-Sorcerer arrives with an old legend at its back.
9067	Johan	Johan arrives with an old legend at its back.
9068	Barrin, Master Wizard	The old stories keep a place for Barrin, Master Wizard.
9069	Balthor the Defiled	Balthor the Defiled arrives with an old legend at its back.
9071	Volrath the Fallen	The old stories keep a place for Volrath the Fallen.
9072	Tsabo Tavoc	When Tsabo Tavoc appears, even old rivals remember.
9073	Ascendant Evincar	Ascendant Evincar walks in with history close behind.
9074	Ramses Overdark	The old stories keep a place for Ramses Overdark.
100001	Chromium	The old stories keep a place for Chromium.
100002	Nicol Bolas	An elder mind with plans inside plans.
100003	Rorix Bladewing	Rorix Bladewing walks in with history close behind.
100004	Silvos, Rogue Elemental	When Silvos, Rogue Elemental appears, even old rivals remember.
